Generell kvalitet [1-10],Generellt skick [1-10],Byggår [år],Senaste renovering [år],Antal rum [antal] (exkl källare),Sovrum [antal] (exkl källare),Hela badrum [antal],Halva badrum [antal],Tomtarea [kvm],Boendeyta [kvm] (exkl källare),Eldstäder [antal],Yta källare [kvm],Garageplatser [antal],Yta garage [kvm],Yta pool [kvm],Försäljningspris [SEK]
7,5,2003,2003,8,3,2,1,785,158,0,79,2,50,0,2085000
6,8,1976,1976,6,3,2,0,891,117,1,117,2,42,0,1815000
7,5,2001,2002,6,3,2,1,1045,165,1,85,2,56,0,2235000
7,5,1915,1970,7,3,1,0,887,159,1,70,3,59,0,1400000
8,5,2000,2000,9,4,2,1,1324,204,1,106,3,77,0,2500000
5,5,1993,1995,5,1,1,1,1311,126,0,73,2,44,0,1430000
8,5,2004,2005,7,3,2,0,936,157,1,156,2,59,0,3070000
7,6,1973,1973,7,3,2,1,964,194,2,102,2,44,0,2000000
7,5,1931,1950,8,2,2,0,568,164,2,88,2,43,0,1299000
5,6,1939,1950,5,2,1,0,689,100,2,92,1,19,0,1180000
5,5,1965,1965,5,3,1,0,1040,96,0,96,1,35,0,1295000
9,5,2005,2006,11,4,3,0,1107,215,2,109,3,68,0,3450000
5,6,1962,1962,4,2,1,0,1204,84,0,84,1,32,0,1440000
7,5,2006,2007,7,3,2,0,989,138,1,138,3,78,0,2795000
6,5,1960,1960,5,2,1,1,1014,116,1,116,1,32,0,1570000
7,8,1929,2001,5,2,1,0,568,79,0,77,2,53,0,1320000
6,7,1970,1970,5,2,1,0,1044,93,1,93,2,44,0,1490000
4,5,1967,1967,6,2,2,0,1002,120,0,0,2,47,0,900000
5,5,2004,2004,6,3,1,1,1272,103,0,103,2,53,0,1590000
5,6,1958,1965,6,3,1,0,702,124,0,95,1,27,0,1390000
8,5,2005,2006,9,4,3,1,1320,220,1,107,3,79,0,3253000
7,7,1930,1950,6,3,1,0,692,102,1,59,1,26,0,1394000
8,5,2002,2002,7,3,2,0,905,166,1,165,2,49,0,2300000
5,7,1976,1976,6,3,1,0,392,98,1,96,2,53,0,1299000
5,8,1968,2001,6,3,1,0,766,98,1,98,1,25,0,1540000
8,5,2007,2007,7,3,2,0,1321,148,1,145,3,82,0,2563000
5,7,1951,2000,5,3,1,0,668,83,0,83,2,53,0,1348000
8,5,2007,2008,7,3,2,0,1066,158,1,158,3,71,0,3060000
5,6,1957,1997,6,2,1,0,1516,148,2,137,1,29,0,2075000
4,6,1927,1950,4,1,1,0,587,48,0,48,1,22,0,685000
4,4,1920,1950,6,3,1,0,789,122,0,60,1,23,0,400000
5,6,1966,2006,6,3,1,1,793,114,0,114,1,25,0,1493500
8,5,2007,2007,7,3,2,0,1026,114,0,114,2,44,0,1799000
5,5,1959,1959,6,4,1,1,980,157,1,129,2,41,0,1655000
9,5,2005,2005,6,2,2,0,679,145,1,145,2,51,0,2775000
8,5,2004,2005,9,4,3,1,1246,227,1,103,3,64,0,3090000
5,5,1994,1995,6,3,1,1,1008,101,0,101,2,62,0,1450000
5,6,1954,1990,5,3,1,0,792,120,1,120,2,46,0,1530000
5,7,1953,2007,5,3,1,0,735,98,0,98,1,22,0,1090000
4,5,1955,1955,6,2,2,0,561,107,0,0,0,0,0,820000
6,5,1965,1965,6,3,2,0,804,122,1,101,2,40,0,1600000
5,6,1959,1959,5,2,1,1,1570,123,2,125,1,28,0,1700000
5,7,1983,1983,5,2,1,0,852,82,0,78,2,46,0,1440000
5,6,1975,1980,5,3,1,0,854,87,0,87,1,28,0,1302500
5,6,1959,1959,6,3,1,0,738,106,0,106,1,27,0,1410000
9,5,2005,2005,6,2,2,0,711,162,1,162,2,53,0,3199000
7,5,2003,2003,6,1,1,1,1191,199,1,133,2,62,0,2396860
8,5,2006,2006,7,3,2,0,1030,153,0,153,3,76,0,2497000
4,5,1920,2008,8,2,2,0,413,134,0,68,0,0,0,1130000
5,7,1966,1966,6,3,1,0,719,88,0,88,1,35,0,1270000
6,6,1997,1997,6,3,2,0,1288,136,0,73,2,36,0,1770000
6,6,1934,1950,6,3,1,0,579,109,1,75,2,49,0,1145000
5,5,1963,1963,5,2,1,0,787,75,0,75,2,47,0,1100000
9,5,1981,1987,5,0,0,1,4670,171,1,171,3,83,0,3850000
5,5,1955,1955,6,3,1,0,662,126,1,35,2,53,0,1300000
6,5,1964,1964,7,3,2,0,945,132,1,132,2,53,0,1805000
8,5,1999,2000,7,3,2,1,245,161,0,90,2,44,0,1725000
7,5,2004,2004,7,3,2,1,1081,159,0,79,2,52,0,1965000
10,5,2006,2006,10,3,3,1,1271,273,1,130,3,59,0,4387800
5,7,1972,1972,4,2,1,0,668,72,0,72,1,32,0,1249000
6,5,2004,2004,5,3,1,1,1214,107,0,107,2,53,0,1580000
5,7,1920,1996,6,3,1,0,668,103,0,49,1,26,0,1010000
8,5,2006,2006,6,2,2,0,598,127,1,127,2,44,0,2025000
7,6,1921,1950,9,3,2,0,956,158,0,53,2,44,0,1400000
7,5,1997,1998,8,3,2,1,870,188,0,98,2,59,0,2195000
8,5,2004,2005,9,4,2,1,891,229,1,106,3,79,0,3170000
7,5,1970,1989,7,3,2,0,1848,205,1,180,2,53,0,1800000
7,5,2003,2003,7,3,2,0,990,137,0,134,2,51,0,2260000
4,6,1945,1950,4,2,1,0,428,69,0,69,1,20,0,800000
7,4,1953,1953,7,3,2,0,1448,212,1,121,2,61,0,2250000
7,6,1973,1973,8,3,2,0,1268,206,2,206,2,47,0,2440000
4,6,1982,2006,4,2,1,0,705,78,0,78,2,33,0,1295000
7,5,1998,1998,7,3,2,1,942,159,1,77,2,39,0,1850000
5,7,1954,2003,6,3,1,0,947,100,0,100,2,45,0,1449000
3,6,1915,1950,8,3,2,0,537,149,0,78,1,35,0,1074000
4,5,1973,1973,5,2,1,0,148,91,0,42,1,27,0,910000
4,7,1956,1956,4,2,1,0,787,88,0,88,1,26,0,1357500
5,5,1948,2001,6,2,1,0,802,119,0,62,1,22,0,1270000
4,5,1968,1968,8,4,2,0,1001,164,0,164,0,0,0,1365000
5,6,1910,1981,5,2,1,1,969,114,0,40,2,40,0,1100000
6,6,1968,1968,8,4,2,1,1207,198,1,83,1,47,0,1935000
6,5,1998,1998,5,2,2,0,418,124,0,114,2,37,0,1535000
8,5,2007,2007,6,3,2,0,948,145,1,145,3,70,0,2450000
5,5,1960,1960,6,3,1,1,826,98,0,98,2,42,0,1265000
7,5,1995,1996,7,3,2,1,792,136,1,35,2,37,0,1685000
8,5,1991,1992,9,4,2,1,1491,224,1,119,2,42,0,2600000
6,5,2005,2005,6,3,2,1,1106,144,1,63,2,37,0,1740000
6,5,2009,2009,4,2,2,1,367,113,0,56,2,49,0,1645000
3,2,1915,1982,6,2,1,0,786,141,0,94,0,0,0,850000
4,5,1994,1995,5,3,1,0,749,91,0,91,0,0,0,1236000
4,5,1950,1950,4,2,1,0,668,96,0,0,2,39,0,1099000
5,3,1961,1961,6,2,1,0,789,114,0,114,2,44,0,986000
5,7,1921,2006,5,2,1,0,1241,89,0,81,2,40,0,1635000
6,6,1910,1998,9,4,2,0,668,212,1,112,2,47,0,1339000
6,5,1997,1997,7,3,2,1,867,165,0,76,2,63,0,2047500
6,8,1993,1993,6,3,2,1,907,136,1,63,2,39,0,1850000
7,5,1999,1999,6,3,2,0,953,147,0,147,2,43,0,2140000
4,5,1965,1965,6,3,1,0,1014,89,0,89,1,40,0,947500
5,5,1920,1950,5,2,1,0,987,77,0,42,1,34,0,830000
4,5,1959,1959,6,3,1,1,865,113,0,88,0,0,0,1289500
6,7,1977,2001,6,3,2,0,985,149,2,149,2,44,0,2050000
6,5,1985,1985,7,3,2,1,855,160,1,68,2,44,0,1780000
5,5,1979,1979,8,4,2,0,651,142,0,0,2,38,0,1189640
7,5,2009,2009,6,3,2,0,966,113,0,113,3,68,0,1989000
7,4,1931,1950,7,4,1,1,720,168,2,96,1,22,0,1695000
8,5,2003,2004,9,3,2,1,870,185,1,97,2,60,0,2500000
4,7,1885,1995,6,2,1,0,1003,97,0,59,1,25,0,1000000
5,5,1948,1950,5,2,1,0,557,73,0,73,1,23,0,1150000
5,7,1919,2005,7,3,2,0,789,140,0,73,0,0,0,1150000
6,6,1977,1977,7,3,2,0,1091,171,1,171,2,50,0,1900000
6,4,1954,1972,7,4,2,0,884,172,0,92,1,30,0,1369000
7,5,2000,2000,7,3,2,1,719,132,1,35,2,37,0,1800000
7,5,2007,2007,10,4,2,1,925,250,1,117,3,73,0,3839700
6,5,1953,1953,7,3,2,0,1950,209,2,168,2,41,0,2170000
6,8,1945,2002,9,3,2,1,674,215,1,95,1,16,0,2595000
6,5,1999,1999,5,2,2,1,300,135,1,67,2,40,0,1760000
5,5,1962,1962,6,3,1,0,1079,101,1,101,1,26,0,1390000
5,5,2006,2007,5,2,1,1,792,104,0,104,2,39,0,1550000
7,5,1990,1990,11,5,3,0,1149,299,2,155,3,55,0,3200000
6,5,2005,2006,8,3,2,1,786,135,1,67,2,36,0,1639900
6,5,1969,1969,4,1,1,0,1992,91,2,87,2,50,0,1800000
4,5,1939,1950,4,3,1,0,562,104,0,68,1,24,0,1000000
6,7,1958,1958,5,3,1,0,879,100,0,100,1,26,0,1360000
6,5,1993,1993,5,2,2,0,733,111,0,111,2,49,0,1539000
6,5,1979,1998,7,3,2,0,1583,147,1,126,2,40,0,1810000
6,8,1935,1982,5,2,1,0,629,70,0,48,0,0,0,845000
6,5,1976,1976,5,2,2,0,457,88,1,100,2,40,0,1280000
5,7,1930,1950,5,3,1,0,407,78,1,62,0,0,0,870000
6,5,1966,1966,6,3,1,1,705,125,1,61,2,42,0,1550000
5,7,1958,1991,6,3,1,1,833,97,0,93,2,69,0,1500000
7,6,1966,1966,8,4,2,1,1319,200,2,85,2,45,0,2260000
6,5,2000,2000,7,3,2,1,1135,190,1,92,2,36,0,2440000
5,6,1959,2002,7,3,1,0,686,123,0,98,2,57,0,1507500
8,5,2001,2002,6,2,2,0,636,120,0,117,2,43,0,2200000
5,6,1968,1993,7,3,2,1,960,159,1,135,2,40,0,1800000
7,6,1970,1970,7,3,2,0,966,156,1,121,2,49,0,1740000
5,5,1967,1967,5,3,2,0,961,112,1,112,1,29,0,1430000
7,5,1988,1989,9,5,3,0,1028,181,0,177,3,71,0,1710000
8,5,1999,2000,7,3,2,1,842,172,2,93,3,61,0,2300000
6,5,1997,1997,7,3,2,1,1433,163,0,86,2,43,0,2315000
4,5,1971,1971,5,3,1,0,975,80,1,80,0,0,0,1150000
7,5,2005,2005,7,3,2,0,1081,161,0,161,2,61,0,2600000
5,4,1952,1952,6,4,2,0,791,128,0,84,2,66,0,1660000
7,5,1999,1999,6,3,2,0,960,139,0,138,2,53,0,2040000
5,5,1963,1963,10,6,2,0,845,160,0,160,2,46,0,1250000
6,5,2004,2006,7,3,2,0,234,158,0,90,2,35,0,1300000
5,7,1931,1993,5,2,1,0,568,81,0,66,1,16,0,1050000
7,5,2001,2001,8,3,2,1,883,189,1,82,2,40,0,2225000
7,5,2004,2005,6,3,1,0,696,100,0,100,0,0,0,1410000
5,4,1936,1950,7,3,1,0,579,124,0,83,1,22,0,1150000
5,6,1975,1975,5,3,1,1,962,90,0,90,2,40,0,1220000
8,5,2007,2008,6,2,2,0,1290,158,1,158,3,80,0,3724020
6,5,1971,1971,8,4,2,1,1375,185,1,76,2,45,0,1900000
6,7,1960,1975,4,1,1,0,1254,116,1,148,2,52,0,2350000
6,5,1923,1950,7,4,1,0,1053,111,0,111,1,28,0,1250000
6,5,1924,1950,5,2,1,0,891,101,0,53,0,0,0,790000
5,7,1950,1950,5,2,1,0,668,96,0,0,2,58,0,1095000
8,5,2009,2010,8,4,2,1,1115,182,1,71,3,63,0,2695000
7,5,2004,2005,8,3,2,1,1166,180,1,92,2,62,0,2549000
7,5,2005,2006,9,4,2,1,1800,228,1,129,2,53,0,3200000
6,6,1984,1984,6,3,2,0,1033,114,0,114,2,47,0,1625000
9,5,2003,2004,10,3,2,1,1271,247,2,146,3,67,0,4125000
7,5,2005,2005,7,3,2,0,1131,143,1,143,2,49,0,2200000
4,6,1956,1956,4,1,1,0,510,81,0,81,0,0,0,1032000
6,7,1926,2004,5,3,2,0,501,150,0,106,1,20,0,1520000
5,7,1940,1999,6,4,2,0,938,125,0,59,0,0,0,1275000
5,5,1955,1993,7,2,1,0,994,173,3,150,1,28,0,1900000
8,5,2007,2007,8,3,1,1,981,200,1,146,3,73,0,3256240
7,5,2004,2004,7,3,2,1,765,159,1,78,2,40,0,1835000
8,6,1981,1981,6,2,2,1,1548,158,1,156,2,47,0,2280000
5,6,1941,1950,7,2,1,1,1148,128,0,66,2,61,0,1285000
6,5,1960,1960,7,3,1,0,2951,153,2,100,2,49,0,2150000
7,7,1987,1987,5,2,2,0,492,164,1,98,2,46,0,2390000
6,5,1961,1961,6,3,1,1,947,126,1,126,2,46,0,1630000
6,5,1986,1986,7,3,2,0,1153,153,1,149,2,57,0,1840000
6,7,1950,2001,7,4,2,0,1171,200,1,111,2,53,0,2430000
6,5,1988,1989,8,4,2,1,931,191,1,106,2,48,0,2110000
5,5,1958,1958,8,4,2,0,1268,178,1,97,2,41,0,1725000
9,5,2008,2009,9,1,2,0,1618,207,1,205,3,108,0,5018370
5,6,1923,2006,5,2,1,0,791,89,0,89,2,44,0,1000000
6,5,2000,2000,5,3,2,1,196,141,1,70,2,40,0,1770000
7,6,1920,1950,9,4,1,1,704,167,1,73,1,20,0,2001000
5,6,1957,2006,7,3,1,0,841,124,1,0,1,23,0,1200000
7,5,2003,2003,6,3,2,1,1061,193,0,126,2,44,0,2000000
5,8,1908,1991,5,3,1,0,690,116,0,46,2,53,0,1270000
10,9,1892,1993,12,4,2,1,2132,335,2,102,3,78,0,4750000
7,5,1990,1991,6,3,2,0,924,113,0,110,2,46,0,1730000
5,7,1916,1987,8,3,2,1,967,153,0,61,1,16,0,1350000
5,5,1979,1979,6,2,0,2,651,113,2,100,2,49,0,1533370
8,5,2001,2002,5,0,1,1,457,147,1,147,2,63,0,2860000
8,8,1932,1994,10,3,2,1,981,253,2,79,2,40,0,3150000
7,9,1972,2004,7,4,1,1,694,137,0,67,2,44,0,1840000
7,5,1999,1999,6,3,2,0,837,132,0,132,2,61,0,1920000
7,5,2004,2004,7,3,2,0,234,158,0,90,2,35,0,1300000
5,7,1972,1972,5,3,1,0,667,80,0,80,1,32,0,1270000
6,6,1976,1976,7,3,2,1,211,135,1,79,2,40,0,1485000
7,5,2007,2007,8,3,2,0,874,160,1,160,3,73,0,3118720
8,4,1918,1990,8,4,2,0,2361,289,1,126,2,73,47,2350000
6,6,1912,1950,8,5,1,0,512,207,0,70,0,0,0,1040000
8,5,2004,2005,7,3,2,0,891,159,1,159,3,79,0,2749000
4,5,2003,2004,5,2,2,0,793,104,0,104,2,40,0,1400000
6,6,1977,1977,6,3,2,0,940,118,2,111,2,43,0,1715000
6,6,1924,1950,6,2,2,0,650,121,0,57,1,36,0,1120000
6,5,2004,2004,3,1,1,0,412,78,1,78,2,39,0,1490000
5,7,1947,1950,5,2,1,1,325,119,0,66,1,22,0,1100000
7,5,1990,1990,5,3,2,0,1100,133,0,132,2,46,0,1805000
5,5,1962,1962,8,3,1,1,1270,157,1,105,1,32,0,1439000
4,5,1960,1960,6,3,1,0,1160,102,1,102,1,28,0,1410000
7,5,1988,1989,7,3,2,1,1334,191,1,107,2,42,0,2770000
6,7,1964,1964,6,3,1,0,766,101,0,101,2,46,0,1450000
5,6,1925,1950,5,2,1,0,520,80,0,80,0,0,0,980000
6,5,2009,2009,6,3,2,0,968,112,0,112,2,42,0,1860000
7,5,2009,2009,7,3,2,1,802,172,1,83,2,59,0,2526780
5,5,1995,1995,5,3,1,0,1260,91,0,91,2,53,0,1560000
6,7,1977,1977,6,3,1,1,1012,129,0,64,1,27,0,1617500
5,6,1957,1996,6,2,1,0,930,114,1,99,1,41,0,1344500
7,5,2004,2004,8,3,2,0,785,133,0,133,2,44,0,2100000
4,4,1925,1950,8,3,1,0,920,123,0,63,1,19,0,1070000
7,9,1939,2006,8,3,1,1,1454,181,2,74,2,40,0,3115000
7,5,2005,2006,5,2,2,0,279,115,0,115,2,40,0,1672400
7,5,2006,2006,5,2,2,0,835,139,0,139,2,62,0,2049000
6,5,2002,2002,8,4,2,1,749,210,1,93,2,36,0,2000000
6,6,1975,1975,6,3,2,1,1066,144,1,66,2,40,0,1799000
4,6,1971,1971,4,2,1,0,975,80,0,80,2,53,0,970000
10,5,2003,2003,8,3,2,0,1251,222,1,222,3,89,0,3862500
5,5,1971,1971,6,3,2,1,156,120,0,58,1,26,0,1120000
7,5,1995,1995,9,4,2,1,924,234,1,111,3,66,0,2900000
6,6,1970,1970,5,2,1,1,173,91,0,44,1,26,0,1060000
5,5,1967,1967,5,3,1,0,791,84,1,84,1,31,0,1250000
7,5,2005,2006,7,2,2,0,295,144,1,127,2,39,0,1925000
6,6,1959,1959,6,3,1,0,813,110,0,110,1,28,0,1480000
8,5,1995,1996,9,4,2,1,1406,259,1,135,3,75,0,4030000
6,5,1972,1972,5,2,1,1,156,91,1,44,1,26,0,945000
5,6,1976,1976,5,3,1,0,989,83,0,83,1,28,0,1282000
6,5,2002,2002,8,4,2,1,729,182,2,79,2,40,0,2165000
6,3,1971,1971,5,2,1,1,156,91,0,44,1,24,0,895000
7,5,2004,2004,6,3,2,0,815,131,0,131,2,45,0,1855000
7,7,1993,2003,7,3,2,1,878,162,0,92,2,42,0,1945000
8,5,2007,2007,7,3,2,0,1117,157,0,157,3,75,0,3180000
6,4,1945,1950,7,3,1,1,812,138,1,68,1,20,0,1130000
8,5,2008,2008,7,3,2,0,836,145,0,145,2,69,0,2625000
5,9,1945,1997,4,2,1,0,360,80,0,63,0,0,0,1105000
5,4,1900,1950,6,3,1,0,464,133,0,50,1,32,0,790000
6,6,1980,1980,6,3,1,1,999,113,1,58,1,26,0,1200000
7,5,1994,2002,8,3,2,1,824,196,2,88,2,43,0,2050000
7,5,1988,1988,6,3,2,0,966,173,1,171,2,56,0,2415000
6,8,1910,1950,9,4,2,0,849,179,0,94,1,40,0,1370000
6,5,1954,1954,5,2,1,0,1050,127,1,126,2,41,0,1400000
7,5,2003,2003,8,3,2,1,1051,154,0,78,2,46,0,1800000
6,7,1958,2006,7,4,2,0,14771,199,2,134,2,36,0,2770000
3,2,1940,1966,6,3,1,0,497,121,0,67,0,0,0,765000
8,5,2006,2007,5,2,2,0,441,150,1,146,2,49,0,2350000
6,5,2004,2004,6,3,2,1,777,152,0,74,2,48,0,1730000
6,7,1964,1991,7,3,2,0,868,120,0,120,1,28,0,1580000
5,6,1957,1957,5,3,1,0,780,122,0,122,1,27,0,1450000
7,5,1999,1999,8,4,2,1,811,212,1,90,2,39,0,2300000
6,5,2003,2003,7,3,2,1,816,160,0,80,2,62,0,2075000
7,5,2006,2006,8,3,2,1,818,149,1,149,2,61,0,2200000
7,5,2001,2001,7,3,2,1,1155,166,1,89,2,52,0,2315000
5,5,1956,1956,4,2,1,0,1180,81,0,0,1,28,0,970000
6,5,1962,1962,6,3,1,0,1792,128,1,126,2,82,0,1760000
8,5,2007,2007,10,3,2,1,890,239,1,137,3,80,0,2760000
6,7,1977,1995,6,3,1,0,786,112,1,47,2,45,0,1510000
5,7,1929,2001,6,3,1,0,510,122,0,86,2,44,0,1300000
5,5,1925,2004,4,2,1,0,486,70,0,63,2,46,0,730000
6,6,1981,1981,7,3,2,0,1123,132,1,132,2,53,0,1755000
6,5,1997,1997,8,3,2,1,1041,140,1,74,2,38,0,1850000
5,8,1939,1997,8,4,2,1,780,203,1,66,1,22,0,1795000
5,6,1940,1955,4,2,1,0,641,72,1,68,1,85,0,1205000
6,7,1976,1976,6,3,1,1,735,103,1,106,1,46,0,1480000
8,5,2006,2006,8,3,2,1,996,180,1,101,3,97,0,2660000
7,7,1954,2005,5,2,1,0,3632,126,2,128,2,40,0,2415000
8,7,1999,2007,9,4,2,1,1092,210,1,107,3,62,0,2900000
6,6,1958,1988,6,3,2,0,891,151,1,115,1,31,0,1390000
5,7,1982,1982,5,2,1,0,772,75,0,75,1,24,0,1245000
7,7,1925,2007,5,3,2,1,674,143,0,88,2,62,0,2050000
7,5,2003,2003,7,3,2,0,854,144,0,144,2,53,0,2010000
4,5,1951,1951,4,2,1,0,1777,80,0,80,2,37,0,1410000
9,5,2006,2007,8,3,2,1,1342,197,1,197,3,68,0,4152980
7,5,1977,1977,8,4,2,1,929,187,1,107,2,46,0,1920000
7,6,1989,1989,7,3,2,1,1048,184,1,74,2,53,0,2285000
6,5,2006,2006,5,2,2,0,668,117,0,117,2,53,0,1850000
7,5,2007,2008,6,2,2,0,470,122,1,122,2,58,0,2075000
8,5,2008,2009,6,3,2,0,892,136,1,136,3,83,0,2446000
6,5,1992,1992,5,2,2,0,744,146,0,146,2,49,0,1792000
7,5,2006,2007,5,2,2,1,394,116,0,58,2,49,0,1647000
6,7,1962,1981,7,3,1,1,909,161,1,84,2,40,0,1590000
4,4,1971,1971,5,3,1,0,754,79,0,79,0,0,0,880000
5,5,1967,1967,5,3,1,0,912,83,0,81,1,26,0,1220000
6,7,1915,2003,7,3,1,0,811,129,0,64,1,35,0,1535750
8,5,2006,2006,8,3,2,1,1450,178,1,100,2,63,0,2332300
5,6,1912,2000,9,6,2,0,528,159,0,72,0,0,0,1359000
5,4,1949,2008,8,3,1,1,1059,159,1,71,1,26,0,1310000
7,7,1977,1994,9,3,2,1,1547,210,1,73,2,50,0,2350000
6,5,1953,1953,7,3,1,0,891,152,2,131,2,38,0,1670000
6,6,1984,1984,6,3,1,0,737,93,0,93,2,54,0,1425000
5,5,1950,1950,6,4,1,1,1273,144,0,84,1,26,0,1520000
7,5,1997,1998,7,3,2,1,687,181,1,90,2,53,0,2390000
6,6,1968,1968,7,3,1,2,1086,161,1,65,2,50,0,1750000
6,8,1950,2004,6,3,1,0,1300,107,1,101,1,27,0,1585000
5,5,1953,1953,5,2,1,0,1463,124,2,108,1,34,0,1570000
8,5,1998,1999,9,4,2,1,1507,227,1,95,2,63,0,2670000
7,5,2001,2002,6,3,2,0,1273,143,1,143,3,78,0,2050000
5,7,1972,1972,5,3,1,0,910,83,0,83,2,51,0,1499000
7,9,1880,2002,10,3,3,0,1708,324,1,136,3,80,0,2950000
8,5,2004,2005,8,3,2,0,964,185,0,185,3,82,0,3059000
7,5,1990,1991,8,4,2,1,1251,208,1,65,3,69,0,2250000
6,7,1920,1950,6,3,1,0,735,130,0,29,0,0,0,895000
4,5,1940,1950,4,1,1,0,1146,79,0,79,2,50,0,825000
9,5,2003,2004,8,3,2,0,1149,180,3,176,3,65,0,3600000
6,5,1993,1994,6,3,2,1,713,139,1,64,2,39,0,1656000
6,6,1948,2002,5,2,1,0,743,90,1,90,1,22,0,1320000
5,7,1939,1950,5,3,1,0,724,103,1,73,2,38,0,1199000
7,5,1965,1965,8,3,2,0,19996,189,2,198,2,47,0,3750000
7,7,1925,1990,6,3,1,1,891,152,1,67,2,50,0,1780000
7,5,2004,2005,6,3,2,1,724,133,1,66,2,40,0,1885000
7,7,1980,1980,10,4,2,1,1208,218,1,78,2,44,0,2600000
8,5,2006,2006,8,3,2,1,836,181,1,101,3,95,0,2700000
7,5,1993,1993,9,4,2,1,919,245,1,125,3,60,0,2600000
7,5,1980,1980,6,3,2,0,1311,136,2,127,2,54,0,1875000
9,5,2006,2006,9,4,3,1,1510,241,0,116,3,78,0,3426430
8,5,2004,2004,10,4,2,1,1123,229,1,105,3,81,0,3540000
7,5,1986,1987,8,4,2,1,964,253,1,139,2,53,0,3010000
3,8,1955,2005,6,3,1,0,540,108,0,107,1,20,0,1261750
7,7,1967,2007,11,5,2,1,1047,276,1,65,2,52,0,2420000
5,6,1941,1950,5,2,1,0,464,74,0,66,2,33,0,870000
8,5,1993,1993,6,1,1,1,1007,159,2,159,2,43,0,3240000
6,5,1960,1960,7,3,1,1,1077,128,0,128,1,27,0,1452500
6,6,1916,1994,10,5,2,0,1104,198,0,78,2,40,0,2145000
5,5,1920,1950,6,3,1,0,594,110,0,55,1,17,0,780000
5,4,1964,1964,10,6,2,0,986,160,0,160,1,32,0,1190000
5,6,1958,1992,6,3,1,0,759,98,0,98,1,28,0,1390000
8,5,2003,2004,7,3,2,0,989,151,1,297,3,81,0,2840000
7,5,2004,2004,6,2,2,0,761,126,1,126,2,44,0,2070000
6,5,1998,1998,7,3,2,1,840,152,2,87,2,43,0,1920000
5,6,1965,1965,7,3,2,0,15296,165,2,139,2,49,0,2289500
9,5,2005,2006,8,3,2,0,1315,178,1,178,3,62,0,3774260
7,5,2002,2003,7,3,2,0,848,142,0,142,2,49,0,2140000
7,7,1984,1998,8,3,2,0,1314,150,0,112,2,40,0,2025000
6,7,1958,1998,6,3,1,0,1151,112,0,112,1,27,0,1550000
8,5,2002,2002,9,4,2,1,1318,177,0,89,2,40,0,2029000
4,4,1950,1950,4,2,1,0,780,78,0,66,1,27,0,820000
3,4,1949,1950,6,2,2,0,793,96,0,0,2,37,0,875000
9,5,2005,2005,6,2,2,0,822,156,1,156,2,52,0,2660000
5,3,1976,1976,4,3,1,1,240,103,0,49,1,31,0,850000
6,5,1939,1950,6,3,1,0,597,146,1,90,1,28,0,1402000
6,8,1960,1998,5,2,1,0,1186,88,0,88,1,27,0,1515000
6,5,1960,1960,6,3,2,0,1635,137,2,137,2,46,0,1575000
7,5,2003,2004,6,2,2,1,227,151,0,70,2,44,0,1540000
9,5,2005,2006,10,4,2,1,1898,253,2,171,3,65,0,4371540
9,5,2007,2007,6,2,2,0,726,173,1,173,2,57,0,3180610
7,5,1986,1986,6,2,1,1,489,134,1,134,2,41,0,1900000
5,6,1941,1950,5,3,1,0,843,103,0,57,1,18,0,950000
6,8,1928,2003,5,2,1,0,791,66,0,57,2,44,0,1059000
6,5,1940,2000,6,2,1,0,780,148,2,87,1,22,0,1400000
6,5,1995,1995,6,3,2,0,1045,111,0,111,2,48,0,1775000
6,6,1992,1992,6,3,2,0,859,108,0,107,2,37,0,1730000
5,5,1976,1976,6,3,1,1,392,106,1,106,2,49,0,1340000
5,4,1958,1958,6,3,1,0,643,125,0,98,1,26,0,1300000
