Generell kvalitet [1-10],Generellt skick [1-10],Byggår [år],Senaste renovering [år],Antal rum [antal] (exkl källare),Sovrum [antal] (exkl källare),Hela badrum [antal],Halva badrum [antal],Tomtarea [kvm],Boendeyta [kvm] (exkl källare),Eldstäder [antal],Yta källare [kvm],Garageplatser [antal],Yta garage [kvm],Yta pool [kvm],Försäljningspris [SEK]
8,5,1998,1998,7,3,2,1,1115,178,1,100,2,54,0,2800000
6,6,1978,1978,5,2,1,0,700,84,1,82,2,43,0,1560000
5,5,1940,1982,8,3,1,0,849,139,0,82,1,22,0,1450000
7,5,2003,2003,7,4,3,0,678,178,1,0,2,62,0,1985000
6,8,1972,2007,5,2,1,1,156,91,0,44,1,24,0,1180000
6,5,1976,1976,6,3,2,1,1746,146,1,73,2,52,0,1900000
5,7,1920,1997,6,3,1,0,993,124,0,62,1,43,0,1470000
6,5,1963,1963,6,3,1,1,882,129,2,129,2,47,0,1590000
6,5,1962,1962,6,3,1,0,850,132,1,102,1,27,0,1650000
5,6,1954,1954,7,2,1,0,724,117,1,117,1,22,0,1320000
5,7,1959,2006,7,3,1,0,913,119,1,98,2,53,0,1620000
6,5,2000,2000,7,3,2,1,754,154,1,88,2,42,0,1724000
4,4,1959,1959,7,4,2,0,1590,147,1,0,2,63,0,1344320
6,5,1984,1984,4,2,1,0,666,69,0,69,1,24,0,1250000
5,6,1953,1953,5,3,1,0,987,122,0,56,1,25,0,1230000
7,5,2003,2004,8,4,2,1,761,179,1,78,2,40,0,2195000
1,1,1922,1950,4,1,0,1,930,83,0,63,0,0,0,610000
5,5,1996,1996,5,2,1,0,821,84,0,80,2,53,0,1480000
8,5,2004,2005,8,4,3,0,1035,229,1,146,2,56,0,3400000
9,2,2010,2010,8,1,1,1,1058,172,1,172,3,77,0,3944320
6,5,2000,2000,7,3,2,1,754,167,1,91,2,43,0,1790000
5,6,1924,1950,6,3,2,0,464,157,1,95,1,28,0,1270000
7,5,2006,2006,5,2,2,0,668,120,1,120,2,53,0,1877500
7,5,2006,2006,8,3,2,1,858,166,0,87,2,59,0,2135000
6,3,1928,1950,5,2,1,0,836,72,0,72,2,33,0,760000
6,5,1992,1992,9,3,2,1,4933,181,2,146,2,46,0,2400000
8,5,2004,2005,6,2,2,0,295,117,1,116,2,39,0,1920000
5,3,1910,1996,8,5,1,0,781,109,0,61,0,0,0,810000
6,6,1976,1976,6,3,1,0,668,104,1,96,1,32,0,1250000
7,5,1999,2000,6,3,2,0,871,137,0,136,2,53,0,1910000
10,5,2007,2008,9,3,2,1,1158,216,1,156,3,78,0,4260000
5,8,1900,1950,7,4,1,0,780,126,0,79,1,35,0,1190000
6,5,2001,2002,7,3,2,1,1134,182,1,74,2,52,0,2150000
5,7,1959,1959,5,3,1,0,774,81,0,0,1,27,0,1065000
4,5,1941,1950,4,2,1,0,691,73,2,73,0,0,0,1000000
5,6,1940,1950,5,2,1,0,941,96,0,68,1,22,0,1090000
5,6,1956,1956,6,3,1,0,889,106,0,106,1,55,0,1290000
5,5,1972,1972,6,2,1,0,668,83,0,83,2,55,0,1230000
5,5,1962,1962,8,4,2,0,705,168,1,80,1,24,0,1695000
5,2,1920,1950,6,2,1,0,833,100,0,89,1,31,0,670000
7,5,2006,2007,7,2,2,0,754,143,0,101,2,40,0,2410000
8,5,1996,1996,4,1,1,1,1390,119,2,117,2,46,0,2455000
7,5,2005,2005,6,3,2,0,814,121,1,121,2,37,0,1649900
5,8,1940,1997,4,2,1,0,947,62,0,62,1,22,0,1080000
8,5,1998,1998,10,4,2,1,1123,210,1,105,2,39,0,2580000
6,5,1995,1996,7,3,2,1,962,146,1,74,2,34,0,1680000
4,4,1976,1993,8,3,2,0,928,150,1,119,2,45,0,1500000
6,5,1936,1950,6,3,1,0,973,152,0,98,1,22,0,1150000
6,7,1915,1976,8,4,2,0,1447,156,0,78,1,28,0,1770000
7,5,2006,2006,9,3,2,1,1314,201,1,98,3,87,0,2800000
8,5,2007,2008,8,3,2,1,1003,193,1,96,3,77,0,3397500
5,3,1958,1958,5,3,1,0,889,118,0,118,1,32,0,600000
5,5,1955,1955,5,3,1,0,3218,98,0,98,2,53,0,1450000
7,5,2009,2009,7,2,2,1,409,137,1,136,2,44,0,2220000
5,6,1927,1950,5,2,1,0,832,95,1,93,2,33,0,1150000
7,5,1993,1993,9,3,2,1,1043,194,1,100,3,62,0,2280000
7,5,2007,2007,6,3,2,0,826,124,0,124,2,36,0,1811340
6,7,1978,1978,6,3,1,1,728,130,1,62,2,40,0,1495000
6,6,1918,1950,10,4,2,1,2082,243,1,127,3,80,0,2390000
5,6,1940,1950,7,3,1,1,758,105,0,70,1,22,0,1260000
5,6,1968,1968,6,3,1,0,785,98,1,98,1,28,0,1420000
7,5,1997,1998,8,2,2,0,655,124,0,124,4,72,0,2063000
6,7,1977,2000,8,3,2,0,1545,148,1,148,2,49,0,2150000
5,5,1954,1954,4,2,1,0,2020,91,0,91,2,48,0,1130000
8,5,1998,1998,8,4,2,1,854,244,1,136,3,64,0,3150000
6,5,1956,1956,6,2,1,0,836,111,1,111,1,27,0,1390000
7,8,1946,1992,6,3,1,1,313,129,2,60,1,22,0,1350000
7,5,1989,1989,5,2,2,0,1189,152,1,141,2,52,0,2750000
4,6,1957,1957,5,3,1,0,798,84,0,84,1,32,0,1090080
7,5,2007,2007,6,2,2,0,628,112,0,112,2,58,0,1954000
6,5,1988,1988,6,3,2,0,1064,131,1,129,2,53,0,1750000
6,5,1971,1971,4,2,1,1,156,91,0,44,1,24,0,854000
6,7,1920,1998,7,4,1,0,518,111,0,83,0,0,0,799000
5,5,1971,1971,6,2,1,1,178,126,0,71,2,40,0,1225000
6,5,1997,1998,7,3,2,1,1006,149,1,86,2,43,0,1810000
4,7,1972,1972,3,1,1,0,175,58,0,58,0,0,0,810000
7,6,1996,1996,6,3,2,1,990,154,1,74,2,51,0,2120000
6,8,1920,1950,6,2,1,0,408,103,0,60,2,40,0,1160000
6,7,1926,2004,4,2,1,0,557,83,0,82,1,16,0,1190000
5,6,1913,2002,4,2,1,0,397,64,1,40,1,32,0,903500
6,8,1920,2000,7,3,1,0,1147,111,0,63,2,49,0,1100000
10,5,2008,2008,10,2,2,0,1433,223,2,287,3,62,0,5550000
4,4,1955,1955,8,4,2,0,1124,133,0,133,0,0,0,1180000
5,7,1930,1992,8,3,2,0,579,146,1,100,2,33,0,1629000
7,5,2006,2007,6,2,2,0,364,116,1,116,3,60,0,1725000
7,5,1994,1995,8,4,2,1,812,177,1,85,2,45,0,2100000
6,5,1956,1956,7,3,1,0,915,156,1,133,2,44,0,1275000
6,6,1966,2002,6,2,2,1,1532,175,1,140,2,53,0,1900000
7,5,1998,1999,10,4,2,1,1041,175,1,86,2,40,0,1999000
6,6,1937,1950,7,3,2,0,798,127,1,72,1,18,0,1195000
3,7,1948,2002,6,2,1,1,557,109,0,60,1,28,0,1200000
6,8,1930,2005,5,2,1,0,528,75,0,75,1,25,0,1100000
7,5,1975,1975,5,2,2,0,6573,142,2,142,2,53,0,2800000
6,5,1996,1997,7,3,2,1,864,163,0,81,2,39,0,2040000
8,5,2008,2008,6,3,2,1,836,147,0,71,2,62,0,2100000
5,5,1976,1976,8,4,2,0,863,160,0,160,2,52,0,1880000
7,6,1973,1973,6,3,1,1,891,115,1,115,2,49,0,1755000
5,5,1916,1950,7,4,1,0,424,124,0,57,3,47,0,980000
4,6,1954,1994,6,2,1,0,4944,154,2,126,2,49,0,2560000
8,7,1925,1996,7,3,1,0,473,154,1,54,1,21,0,1610000
5,4,1950,1950,5,3,1,0,651,111,1,65,1,32,0,1100000
8,5,2009,2009,8,3,2,1,743,179,0,77,2,51,0,2634350
7,9,1936,2007,6,3,1,0,668,105,0,52,2,53,0,1550000
5,5,1965,1965,5,3,1,0,769,80,1,80,1,33,0,623830
6,7,1934,1995,6,3,1,1,1113,154,1,66,1,22,0,1887000
5,5,1978,1978,5,3,2,0,783,96,0,96,0,0,0,1240000
7,5,2004,2004,6,2,2,0,285,131,1,127,2,36,0,1787400
7,5,1970,1970,5,2,1,0,987,118,1,118,2,48,0,1670000
5,7,1942,1995,7,3,1,1,880,152,2,67,1,28,0,1465000
8,5,2006,2006,7,3,2,0,1061,151,1,151,3,80,0,2500000
6,5,1993,1993,7,3,2,1,863,158,0,77,2,47,0,1870000
8,5,1985,1985,4,1,1,1,633,139,0,138,2,49,0,2120000
7,6,1977,1977,8,3,2,1,1110,182,1,75,2,49,0,1900000
6,5,2005,2005,5,2,1,0,341,99,0,50,2,48,0,1480000
8,5,2006,2007,7,2,2,0,1391,183,1,183,3,84,0,4400000
8,5,2000,2000,6,2,2,0,495,153,0,138,2,46,0,2510000
5,6,1963,1963,5,2,1,0,787,90,0,90,2,57,0,1325000
6,5,1997,1998,7,3,2,0,1219,138,1,137,2,47,0,2089000
9,5,2006,2006,9,3,2,1,1272,245,1,200,3,64,0,3800000
8,5,2007,2008,7,3,2,0,988,159,1,158,3,76,0,2970000
4,7,1937,2000,7,2,1,0,550,105,0,84,2,62,0,894710
9,5,2004,2005,8,3,2,0,1489,171,1,170,3,71,0,3260000
9,5,2003,2004,6,2,2,0,1100,166,1,166,3,81,0,3740000
7,8,1915,2005,7,4,1,1,232,169,1,84,1,15,0,1550000
6,5,1998,1998,5,2,2,0,418,112,0,112,2,37,0,1640000
5,7,1962,2001,6,3,1,0,720,92,0,92,1,24,0,1325000
5,7,1950,2007,5,3,1,0,891,103,1,103,1,24,0,1470000
5,7,1965,1965,6,3,1,1,955,99,0,99,2,47,0,1560000
5,6,1971,1971,7,3,2,0,1137,137,1,137,2,45,0,1750000
5,4,1900,1970,10,3,2,0,1003,224,1,88,2,48,0,1600000
4,8,1970,2002,3,1,1,0,141,58,0,58,1,26,0,860000
5,6,1976,1976,4,3,1,1,247,121,1,24,1,31,0,1150000
6,7,1941,1950,5,3,1,0,881,146,2,74,1,22,0,1330000
6,5,2006,2006,8,3,2,1,1447,135,0,67,2,39,0,1727850
5,6,1960,1960,6,3,1,1,736,117,1,117,1,28,0,1550000
5,8,1938,1996,4,2,1,0,537,82,0,17,1,25,0,913000
4,5,1920,1950,4,2,1,0,731,66,0,66,0,0,0,349000
8,5,1992,1993,10,4,3,0,1179,299,1,297,2,50,0,4300000
7,6,1925,1950,8,4,2,0,847,169,0,95,1,22,0,1840000
5,7,1967,2004,5,3,1,0,724,83,0,80,1,26,0,1300000
5,7,1958,1985,5,2,1,0,700,84,0,84,1,27,0,1200000
6,5,1973,1973,7,3,1,1,175,113,0,62,1,24,0,1130000
7,5,2005,2005,7,3,2,1,910,164,0,80,2,56,0,2267000
5,7,1965,1965,6,2,1,0,851,112,0,112,2,42,0,1400000
7,8,1959,1997,6,1,2,0,1449,167,2,139,2,44,0,2890000
6,5,1974,1974,6,3,2,1,214,122,1,79,2,40,0,1470000
5,5,1952,1952,10,4,2,0,705,182,0,89,2,37,0,1245000
8,5,1993,1994,8,3,2,1,887,177,1,72,2,43,0,2150000
6,5,2009,2009,4,2,2,0,730,113,0,113,2,62,0,2083000
7,9,1928,2005,7,3,2,0,891,128,1,64,2,33,0,1610000
5,6,1959,1959,6,3,1,0,891,96,0,96,1,25,0,1245000
5,7,1951,2000,6,2,1,0,1352,126,2,93,1,26,0,1649000
7,5,2005,2006,6,2,2,0,630,127,1,127,2,44,0,2026650
5,5,1958,1958,5,3,1,0,845,80,0,80,2,57,0,1299000
6,5,1983,1983,5,3,1,1,853,100,0,100,2,44,0,1340000
5,5,1926,1950,5,2,1,0,984,73,0,71,1,18,0,965000
10,5,2009,2009,9,3,2,1,1135,187,1,186,3,83,0,4028610
6,6,1972,1972,7,3,2,1,970,196,1,64,2,54,0,1580000
7,5,1996,1997,7,3,2,1,948,217,1,117,3,82,0,2650000
6,5,1998,1998,7,3,2,1,885,166,0,73,2,50,0,2110000
7,9,1926,2004,9,3,1,1,1014,193,2,118,1,26,0,2340000
4,7,1900,2000,7,3,2,0,1003,120,0,0,0,0,0,1062500
6,6,1957,1957,6,3,1,1,1113,115,2,115,1,31,0,1500000
6,7,1947,1950,7,3,2,0,464,154,2,93,2,39,0,1590000
10,5,2007,2008,11,3,3,1,3724,434,1,291,3,82,0,1847500
7,5,1996,1997,8,3,2,1,1095,222,1,128,3,77,0,3157500
7,5,2005,2005,6,3,2,0,696,117,1,116,2,42,0,1760000
5,7,1956,2000,4,2,1,0,1235,86,0,86,1,23,0,1320000
9,5,2008,2008,11,3,2,1,1388,252,1,134,3,79,0,4462610
4,7,1920,2002,5,2,1,0,845,56,0,49,0,0,0,860000
6,3,1957,1975,9,4,3,0,3034,233,2,189,2,44,0,2006240
6,5,1988,1989,5,3,2,0,947,140,1,135,2,55,0,1750000
6,8,1920,1999,6,3,2,0,571,126,0,56,2,46,0,1280000
5,7,1955,2007,5,2,1,0,668,76,1,0,1,36,0,1075000
1,3,1946,1950,2,1,1,0,464,31,0,0,0,0,0,393000
8,5,2004,2004,6,3,2,1,841,131,1,65,2,37,0,1780000
5,7,1910,1991,5,3,1,0,650,125,0,103,0,0,0,1075000
7,5,1998,1999,8,3,2,1,829,160,0,81,2,48,0,1880000
4,5,1972,1972,5,3,1,0,1183,80,0,80,2,53,0,1112500
5,5,1968,1968,7,3,1,1,1073,107,1,97,1,31,0,1580000
8,5,2001,2002,6,3,2,0,1061,148,1,146,2,62,0,2720000
9,5,2006,2006,8,2,2,0,1356,170,1,170,3,71,0,3150000
8,5,2000,2000,8,4,2,1,1021,212,1,90,3,60,0,2480000
7,5,1998,1999,7,3,2,0,942,156,1,153,2,54,0,2132500
7,5,1998,1998,4,1,1,0,376,71,0,67,1,34,0,1330000
7,5,2006,2006,7,3,2,1,1588,138,1,60,2,39,0,1796650
7,5,1988,1988,9,4,2,1,1285,202,0,111,3,73,0,2290000
6,7,1923,1950,6,3,1,1,811,151,1,98,2,40,0,2100000
5,7,1970,1970,5,2,1,0,672,71,0,71,2,57,0,1295000
5,7,1955,1995,4,2,1,0,765,76,0,76,2,66,0,1250000
7,5,2003,2004,8,4,2,1,870,194,1,84,2,57,0,2630000
6,6,1977,1977,4,2,2,0,375,99,0,99,2,40,0,1400000
5,6,1957,1957,5,3,1,0,557,86,0,86,1,26,0,1125000
8,5,2006,2006,7,3,2,0,1035,159,1,158,3,84,0,2555000
4,5,1949,2003,5,2,2,0,815,104,0,0,2,48,0,1080000
7,5,2003,2004,8,3,2,1,987,190,1,92,3,80,0,2840000
5,6,1922,1950,5,2,1,0,592,97,1,92,1,26,0,1130000
5,5,1957,1957,6,2,1,0,1379,101,1,101,1,27,0,1410000
4,6,1920,1950,7,3,1,1,1025,124,0,59,1,52,0,1080000
7,5,1996,1997,6,3,2,1,2031,134,1,67,2,37,0,1750000
7,5,2003,2004,7,2,2,0,296,144,1,127,2,39,0,2340000
5,6,1957,1996,5,3,1,1,1053,129,1,129,2,49,0,1215000
5,5,1974,1975,6,2,1,0,929,129,1,129,2,38,0,1700000
5,6,1940,1969,6,3,1,0,1291,92,1,92,0,0,0,1080000
6,7,1918,1950,8,4,2,0,2023,155,1,108,2,36,0,1850000
7,5,1992,2000,9,4,2,1,1239,213,1,101,2,54,0,2680000
6,4,1915,1950,6,4,1,1,637,153,0,74,1,20,0,1280000
9,5,2005,2007,11,4,2,1,1040,232,1,104,3,60,0,3250000
7,5,2004,2004,7,3,2,0,944,142,0,140,2,49,0,2140000
8,8,1983,2009,5,1,1,1,1145,198,1,138,2,56,0,3166000
5,5,1979,1979,4,2,1,0,653,87,2,87,2,55,0,1359600
5,5,1965,1965,10,6,2,0,1217,160,0,160,2,53,0,1426000
6,6,1959,1959,4,2,1,0,681,80,0,80,1,26,0,1200000
7,5,2009,2009,6,3,2,1,1222,157,0,78,2,60,0,2245000
7,5,2000,2000,8,3,2,1,925,132,1,35,2,37,0,1700000
5,7,1971,2005,5,3,1,0,975,103,0,34,1,26,0,1390000
5,5,1947,1950,6,2,1,0,787,112,0,77,1,31,0,1185000
7,7,1928,1950,6,3,2,0,584,137,1,79,1,20,0,1450000
5,6,1966,1966,6,3,1,0,1094,122,2,108,2,52,0,1645000
7,5,2007,2007,5,2,2,0,334,129,0,64,2,50,0,1460000
5,5,1954,1954,7,4,2,0,1128,166,0,97,1,32,0,1315000
6,6,1960,1987,7,3,1,0,1354,132,2,106,2,53,0,1819000
8,5,2008,2009,8,3,2,1,1180,189,1,189,3,129,0,2532930
6,5,1990,1990,5,3,1,0,1100,75,0,75,0,0,0,1185000
10,9,1893,2000,9,3,3,1,1254,257,1,114,2,81,0,3250000
4,7,1935,1995,6,3,1,0,568,146,0,82,1,22,0,1330000
8,5,2005,2006,7,2,2,0,1063,188,2,173,3,81,0,3699000
6,7,1918,2000,5,2,1,0,953,77,0,75,1,25,0,1300000
5,6,1982,1982,4,2,1,0,811,79,0,78,2,49,0,1370000
5,8,1968,2003,5,1,1,0,2331,136,2,133,1,41,0,1430000
5,6,1930,1960,4,2,1,0,845,86,0,68,1,28,0,795000
7,5,2004,2004,6,3,2,1,772,146,0,71,2,48,0,1859000
10,5,2008,2008,10,3,2,1,1252,213,1,159,3,78,0,4519500
5,8,1982,2003,4,2,1,0,613,75,0,75,2,75,0,1380000
6,5,2003,2003,4,1,1,0,412,78,0,78,2,39,0,1400000
5,6,1975,1975,5,3,1,0,742,85,0,85,1,26,0,1100000
8,5,2005,2006,7,3,2,0,1049,169,1,168,3,70,0,3190000
6,7,1910,1993,7,3,1,0,334,127,0,63,1,20,0,1145040
7,5,2006,2007,7,2,0,2,364,130,1,116,3,60,0,1942010
5,6,1977,1977,7,3,2,0,1206,153,1,132,2,57,0,2175000
6,6,1980,1980,6,3,2,1,181,144,1,66,2,41,0,1510000
8,5,2005,2005,8,3,2,1,1015,176,1,98,2,68,0,2750000
6,6,1937,1950,6,3,1,1,836,127,1,72,1,50,0,1410000
8,5,1992,1992,8,3,2,1,932,177,1,84,2,47,0,2200000
7,5,2004,2005,4,2,2,1,295,111,0,55,2,44,0,1510000
7,5,2002,2002,6,3,2,0,1189,138,1,138,2,49,0,2210000
7,6,1965,1990,7,3,2,1,1263,184,3,71,2,45,0,2050000
5,5,1996,1996,6,3,1,0,1157,96,0,96,2,53,0,1520000
5,8,1948,2002,8,3,3,0,724,186,0,83,1,21,0,2250000
8,6,1934,1998,10,4,2,1,1130,296,2,89,2,35,0,3591000
4,5,1961,1961,5,3,1,0,737,95,0,95,1,24,0,1185000
9,5,2000,2000,8,3,2,1,1026,200,2,133,3,68,0,3130000
6,6,1978,1978,6,3,2,0,965,95,1,95,2,52,0,1480000
8,5,2001,2001,7,3,2,1,1104,173,1,120,2,49,0,2615000
5,5,2007,2007,6,3,1,0,780,104,0,104,0,0,0,1470000
4,6,1972,1972,3,1,1,0,138,58,0,58,0,0,0,755000
6,7,1963,1963,6,3,1,0,817,97,0,86,2,44,0,1375000
6,5,2002,2003,7,3,2,1,730,140,1,72,2,36,0,1832000
6,6,1954,1954,4,2,1,0,671,77,0,77,2,49,0,1055000
9,5,2007,2007,9,3,2,0,1086,169,1,169,3,71,0,3148130
8,5,2003,2003,10,4,2,1,1137,210,2,137,3,69,0,3050000
3,3,1914,1950,5,2,1,0,766,80,0,80,0,0,0,670000
6,7,1974,1997,9,4,2,1,1003,242,1,141,2,57,0,2400000
5,6,1977,1977,6,3,1,0,656,91,0,91,2,44,0,1350000
6,5,2000,2000,4,2,2,1,196,140,1,70,2,40,0,1685000
6,5,1972,1972,8,4,1,2,966,166,1,68,2,44,0,1651500
6,6,1962,1962,5,3,1,1,929,103,0,103,2,40,0,1600000
5,5,1960,1978,6,3,1,0,1146,132,1,90,1,26,0,1399000
6,6,1955,1972,7,3,1,0,891,141,2,107,1,33,0,1530000
5,5,1969,1969,9,5,1,2,1078,193,2,96,2,46,0,1350000
6,5,1964,1964,6,3,1,1,837,125,0,115,2,48,0,1685000
5,6,1880,1991,8,3,1,0,836,162,0,59,1,22,0,1240000
8,5,2006,2006,6,2,2,0,426,144,1,144,2,58,0,2095000
7,5,1977,1977,6,3,2,0,1105,131,1,128,2,50,0,825000
5,7,1954,2005,6,3,1,0,859,98,0,98,1,24,0,1394000
6,5,1980,1980,4,0,0,0,648,98,0,98,2,53,0,1440000
6,7,1914,1995,14,8,2,0,1012,315,0,133,0,0,0,2000000
2,3,1936,1950,4,1,1,0,568,74,1,24,0,0,0,600000
5,4,1954,1954,7,3,2,0,557,128,0,75,1,23,0,930000
5,7,1910,1950,4,2,1,0,815,73,0,73,0,0,0,850000
8,5,2006,2006,7,1,2,0,369,145,1,141,3,60,0,2645610
8,5,2003,2004,6,1,1,1,1177,141,1,141,2,54,0,2740000
7,5,2001,2001,7,3,2,1,654,179,1,98,2,60,0,2260000
8,7,1972,1995,9,4,2,1,1287,251,3,181,2,49,0,3450000
5,5,1969,1969,7,4,2,1,1002,150,0,72,2,42,0,1520000
9,5,2009,2009,7,2,2,1,853,164,1,164,3,44,0,3708780
6,5,1971,1971,5,3,1,1,978,91,0,91,2,53,0,1432500
5,5,1950,1950,7,3,1,0,668,97,0,0,2,39,0,983000
6,5,1953,1953,5,3,1,0,970,101,2,101,2,45,0,1550000
6,5,1966,1966,7,4,1,1,715,170,1,70,2,41,0,1550000
4,6,1970,1970,3,1,1,0,179,58,0,58,0,0,0,845000
7,6,2007,2007,7,3,2,1,754,154,0,75,2,52,0,2059500
4,5,1940,1950,7,4,1,0,843,140,1,70,1,27,0,1080000
7,5,1996,1996,7,2,2,1,812,159,1,81,2,47,0,1910000
6,7,1906,1995,7,3,1,0,958,136,0,70,1,20,0,1350000
8,6,1995,1995,7,2,2,1,969,196,1,195,3,77,0,3500000
6,5,1971,1971,6,3,1,1,156,101,0,48,1,24,0,880000
5,7,1959,2006,5,3,1,1,929,97,0,97,1,28,0,1455000
7,6,1931,2000,6,3,1,1,668,139,1,72,1,25,0,1490000
6,5,1948,1950,6,3,1,0,1626,135,1,84,1,30,0,975000
5,7,1964,1999,7,3,1,0,923,138,0,138,2,44,0,1670000
7,7,1976,1976,7,3,2,1,1150,179,1,73,2,51,0,1979000
8,7,1994,2005,8,4,2,1,4328,227,1,151,3,66,0,4020000
6,3,1968,1968,5,2,1,0,1259,129,2,129,2,53,0,1100000
4,5,1972,1972,6,3,2,0,930,109,0,105,2,54,0,1375000
8,5,2005,2006,8,1,1,1,1941,194,1,192,3,105,0,4230000
8,5,2000,2000,7,3,2,1,1039,179,1,130,2,46,0,2305000
6,5,1965,1979,7,3,2,1,1714,221,1,94,2,55,0,1290000
6,5,1994,1998,7,3,2,0,754,155,1,130,2,53,0,1935000
5,6,1956,1987,6,3,1,1,1316,133,1,110,2,53,0,1680000
4,5,1922,1950,5,2,1,0,1077,109,1,65,1,23,0,1375000
6,5,2005,2005,7,3,2,1,802,137,0,68,2,50,0,1735000
6,6,1925,1950,6,3,2,0,615,127,0,62,1,27,0,1036000
6,6,1977,1977,6,3,1,1,1045,112,1,112,2,50,0,1650000
6,7,1957,2004,7,3,2,0,1341,170,2,137,2,38,0,2575000
6,6,1965,1965,5,3,1,0,854,105,1,105,1,35,0,1400000
6,6,1978,1978,7,3,2,1,212,133,1,79,2,40,0,1485000
4,2,1900,1950,8,4,2,0,891,164,0,101,3,72,0,870000
5,8,1924,2006,5,2,1,0,838,73,0,71,1,22,0,1095000
8,5,2008,2008,7,3,2,1,1100,190,1,190,3,77,0,3725000
5,5,1961,1961,5,3,1,0,923,91,0,91,2,53,0,1285000
6,5,1980,1980,5,2,2,0,744,85,1,85,1,24,0,1430000
5,5,1932,2000,6,3,1,0,418,141,0,73,1,26,0,1594340
6,5,1996,1997,6,2,1,0,268,119,1,119,2,40,0,1730000
9,5,2002,2002,7,3,2,0,1044,154,1,151,3,65,0,2850000
7,5,1998,1998,7,4,2,1,1557,170,0,111,2,45,0,2210000
7,5,1984,1984,6,3,2,0,470,194,1,110,2,53,0,2075000
7,6,2007,2007,7,3,3,0,948,163,0,81,2,53,0,2278750
7,5,2004,2004,4,2,2,1,474,102,0,51,2,44,0,1488000
8,6,2007,2007,7,2,2,0,751,131,1,131,2,52,0,3920000
6,5,2005,2006,6,2,2,0,703,126,1,126,2,42,0,1947000
6,5,2004,2004,3,1,1,0,411,78,1,78,2,39,0,1410000
10,6,1994,1995,10,4,3,1,2000,400,2,227,3,77,0,7550000
7,5,1989,1990,9,4,2,1,2431,234,2,112,2,58,0,3350000
5,6,1921,1968,4,2,1,0,501,99,0,99,1,30,0,1084800
5,6,1936,1950,5,3,1,1,568,142,0,86,2,53,0,1415000
6,6,1987,1987,5,2,2,0,1283,105,1,103,2,51,0,1760000
5,7,1921,1950,4,2,1,0,557,57,0,57,1,19,0,890000
5,7,1952,1952,6,2,1,0,596,106,0,91,1,28,0,1235000
5,8,1965,2009,5,3,1,0,785,83,1,83,1,31,0,1385000
7,5,2004,2004,5,2,2,0,397,129,0,129,2,49,0,1960000
8,5,2002,2002,7,3,2,0,1331,167,1,167,3,71,0,3125000
7,5,1969,1969,6,3,1,1,891,108,0,108,2,49,0,1400000
8,5,2006,2006,10,4,2,1,1155,239,1,114,3,61,0,3619190
5,9,1900,1996,8,4,2,0,708,168,1,33,2,62,0,1400000
7,5,2004,2005,7,3,2,0,780,137,0,136,2,56,0,2130000
4,5,1930,1950,7,3,2,0,520,101,0,0,0,0,0,550000
7,5,1971,2002,5,2,2,0,10697,169,2,152,2,68,0,3020000
8,5,2006,2006,6,2,2,0,579,122,1,122,2,51,0,2540000
7,5,2007,2007,8,3,2,1,837,135,1,67,2,37,0,1795400
5,7,1966,1966,6,3,1,0,665,83,0,81,1,37,0,1099000
3,6,1935,2003,5,2,1,0,383,67,0,25,0,0,0,520000
4,7,1900,1950,7,2,1,0,809,109,0,79,1,35,0,1027760
8,5,1988,1989,5,2,2,0,433,114,1,114,2,43,0,1890000
4,5,1970,1970,6,3,1,0,917,89,0,89,2,53,0,1290000
6,8,1976,2005,6,3,2,1,1255,137,0,67,2,44,0,1305000
6,5,1974,1974,7,3,2,0,942,125,1,98,2,44,0,1650000
7,8,1890,1998,8,3,1,1,1003,237,0,66,2,65,0,1595000
5,6,1973,2000,5,3,1,1,929,109,1,109,2,40,0,1570000
7,5,1993,1994,9,3,2,1,979,224,1,121,3,91,0,3410000
5,6,1969,1969,5,3,1,1,921,90,1,90,1,27,0,1285000
8,5,1985,1985,5,2,2,0,609,161,1,161,2,52,0,2750000
6,5,2004,2004,3,1,1,0,411,78,0,78,2,39,0,1430000
4,7,1970,1970,5,3,1,0,754,80,0,80,2,43,0,1245000
4,6,1954,1972,7,4,2,0,759,136,0,87,1,50,0,1350000
9,5,2007,2008,8,3,2,0,1234,157,1,157,3,71,0,3200000
4,6,1970,1970,5,3,1,0,646,80,0,80,2,61,0,1205000
